,order,Date,Price,Open,High,Low,Change %,volatility
208,574,"Oct 19, 2017",1.1852,1.1788,1.186,1.1768,0.55%,1.1241881201039567
209,573,"Oct 20, 2017",1.1785,1.1853,1.1859,1.1763,-0.57%,0.8452691816459951
210,572,"Oct 23, 2017",1.1749,1.1773,1.1779,1.1725,-0.31%,0.7446139461961776
211,571,"Oct 24, 2017",1.1761,1.1749,1.1794,1.1743,0.10%,0.9276162101339237
212,570,"Oct 25, 2017",1.1813,1.176,1.1819,1.1752,0.44%,1.3708628136054184
213,569,"Oct 26, 2017",1.165,1.1811,1.1837,1.1640000000000001,-1.38%,0.21331317132015706
214,568,"Oct 27, 2017",1.161,1.165,1.1659,1.1575,-0.34%,0.2384090069342737
215,567,"Oct 30, 2017",1.1651,1.1603,1.166,1.1594,0.35%,0.30376522073547546
216,566,"Oct 31, 2017",1.1646,1.1651,1.1663,1.1625,-0.04%,0.32028114846902817
217,565,"Nov 01, 2017",1.1619,1.1646,1.1659,1.1607,-0.23%,0.20304472087189804
218,564,"Nov 02, 2017",1.1658,1.1619,1.1689,1.1613,0.34%,0.38583760806315354
219,563,"Nov 03, 2017",1.1609,1.166,1.1692,1.1599,-0.42%,0.29688434373225214
220,562,"Nov 06, 2017",1.161,1.1609,1.1625,1.1579,0.01%,0.678545015201107
221,561,"Nov 07, 2017",1.1586,1.1609,1.1618,1.1554,-0.21%,1.0490003307545865
222,560,"Nov 08, 2017",1.1595,1.1586,1.1612,1.1579,0.08%,1.1429303520748537
223,559,"Nov 09, 2017",1.1642,1.1596,1.1657,1.1586,0.41%,0.9618970536628979
224,558,"Nov 10, 2017",1.1665,1.1642,1.168,1.1623,0.20%,0.8338986784991046
225,557,"Nov 13, 2017",1.1667,1.1666,1.1677,1.1638,0.02%,0.8512515174521261
226,556,"Nov 14, 2017",1.1798,1.1667,1.1807,1.166,1.12%,0.3099586143795068
227,555,"Nov 15, 2017",1.1792,1.1797,1.1861,1.1784,-0.05%,0.3420781789068661
228,554,"Nov 16, 2017",1.177,1.1792,1.1802,1.1756,-0.19%,0.6256424065480584
229,553,"Nov 17, 2017",1.1795,1.1771,1.1823,1.1766,0.21%,0.6402240461814266
230,552,"Nov 20, 2017",1.1732,1.1789,1.1808,1.1721,-0.53%,1.0235434262018446
231,551,"Nov 21, 2017",1.1738,1.1732,1.1759,1.1713,0.05%,1.0423030280258987
232,550,"Nov 22, 2017",1.1822,1.1738,1.1829,1.1733,0.72%,0.5154321683837685
233,549,"Nov 23, 2017",1.1851,1.1822,1.1857,1.1812,0.25%,0.3632868393485671
234,548,"Nov 24, 2017",1.193,1.185,1.1945,1.1836,0.67%,0.4712721809512386
235,547,"Nov 27, 2017",1.1898,1.1933,1.1962,1.1896,-0.27%,0.3500580046143026
236,546,"Nov 28, 2017",1.1841,1.1898,1.1921,1.1827,-0.48%,0.30914627510722426
237,545,"Nov 29, 2017",1.1847,1.1841,1.1884,1.1817,0.05%,0.3783528593189521
238,544,"Nov 30, 2017",1.1904,1.1847,1.1933,1.1809,0.48%,0.7521849359042666
239,543,"Dec 01, 2017",1.1891,1.1904,1.1942,1.1851,-0.11%,0.7724462902022091
240,542,"Dec 04, 2017",1.1866,1.1882,1.189,1.183,-0.21%,0.7160348773960172
241,541,"Dec 05, 2017",1.1826,1.1866,1.1879,1.1801,-0.34%,0.42847293310979784
242,540,"Dec 06, 2017",1.1796,1.1825,1.1849,1.178,-0.25%,0.2578713920206762
