order,Date,Price,Open,High,Low,Vol.,Change %
601,"Sep 21, 2017","1,342.40","1,342.00","1,342.00","1,342.00",0.00K,-1.58%
600,"Sep 22, 2017","1,345.10","1,345.10","1,345.10","1,345.10",0.00K,0.20%
599,"Sep 25, 2017","1,359.20","1,359.20","1,359.20","1,359.20",0.01K,1.05%
598,"Sep 26, 2017","1,349.70","1,349.70","1,349.70","1,349.70",0.04K,-0.70%
597,"Sep 27, 2017","1,336.30","1,336.50","1,340.10","1,333.70",0.01K,-0.99%
596,"Sep 28, 2017","1,336.90","1,336.90","1,336.90","1,336.90",0.00K,0.04%
595,"Sep 29, 2017","1,333.20","1,333.20","1,333.20","1,333.20",0.01K,-0.28%
594,"Oct 02, 2017","1,324.70","1,324.70","1,324.70","1,324.70",0.14K,-0.64%
593,"Oct 03, 2017","1,323.40","1,323.40","1,323.40","1,323.40",0.07K,-0.10%
592,"Oct 04, 2017","1,325.60","1,325.60","1,325.60","1,325.60",0.22K,0.17%
591,"Oct 05, 2017","1,322.60","1,322.60","1,322.60","1,322.60",0.03K,-0.23%
590,"Oct 06, 2017","1,324.30","1,324.30","1,324.30","1,324.30",0.05K,0.13%
589,"Oct 09, 2017","1,334.70","1,334.70","1,334.70","1,334.70",0.02K,0.79%
588,"Oct 10, 2017","1,343.70","1,342.40","1,342.40","1,342.20",0.00K,0.67%
587,"Oct 11, 2017","1,338.80","1,338.80","1,338.80","1,338.80",0.02K,-0.36%
586,"Oct 12, 2017","1,346.60","1,346.40","1,346.40","1,346.20",0.00K,0.58%
585,"Oct 13, 2017","1,354.70","1,354.70","1,354.70","1,354.70",0.18K,0.60%
584,"Oct 16, 2017","1,353.90","1,353.90","1,353.90","1,353.90",0.07K,-0.06%
583,"Oct 17, 2017","1,336.70","1,336.70","1,336.70","1,336.70",0.00K,-1.27%
582,"Oct 18, 2017","1,333.50","1,333.50","1,333.50","1,333.50",0.16K,-0.24%
581,"Oct 19, 2017","1,340.10","1,340.10","1,340.10","1,340.10",0.00K,0.49%
580,"Oct 20, 2017","1,330.40","1,330.40","1,330.40","1,330.40",0.30K,-0.72%
579,"Oct 23, 2017","1,331.10","1,327.80","1,332.30","1,327.80",0.03K,0.05%
578,"Oct 24, 2017","1,328.40","1,328.40","1,328.40","1,328.40",0.11K,-0.20%
577,"Oct 25, 2017","1,329.70","1,329.70","1,329.70","1,329.70",0.11K,0.10%
576,"Oct 26, 2017","1,320.30","1,319.50","1,319.80","1,317.30",0.01K,-0.71%
575,"Oct 27, 2017","1,322.00","1,318.90","1,320.10","1,318.90",0.00K,0.13%
